time,Est_V1,Est_V2,Est_V3,Est_V4,Est_V5,Est_V6,Est_V7,Est_V8
1981-06-15,0.015862826,0.05516921,0.0,0.0,0.0,1.9091121e-06,0.0,0.0
1981-06-16,0.014349684,0.0,0.033186942,0.0,0.0070571527,0.033434756,0.00020708375,0.0
1981-06-17,0.009523742,0.4656719,0.04242873,0.1739054,1.0628545,0.006225165,0.014029816,0.19660501
1981-06-18,2.2498484,0.088894084,0.030701675,0.020675493,0.24820179,0.00021322783,0.0074097496,0.06121798
1981-06-19,0.8375074,0.0,0.16214265,0.0016564354,0.0671711,0.0025200723,6.598614e-05,0.0
1981-06-20,0.22981039,0.17403112,0.010494394,1.906068e-05,0.0,0.0008005645,0.02353306,0.0
1981-06-21,0.23937006,0.030515581,2.3084028,0.27872014,0.022652483,1.8656025,0.4386558,0.036249
1981-06-22,0.002637971,1.0493271e-16,1.3989685e-16,0.00011125713,1.4269075e-16,4.0159346e-05,0.0013781983,0.049163572
1981-06-23,2.3048987e-16,5.5026612e-17,0.0031002804,7.82214e-17,0.0011718787,8.862175e-05,1.394135e-05,1.3290498e-16
1981-06-24,0.01118181,0.0026488598,0.0321022,8.08399e-05,0.0018604154,0.00060523156,0.0007489014,0.0
1981-06-25,7.809623e-05,0.0,0.0,0.0,0.0,0.0,8.7981525e-06,0.0
1981-06-26,3.1784286,2.209362,0.09450493,0.5785829,0.3983771,0.0008672407,0.001764389,0.0024278103
1981-06-27,0.21435764,0.04705643,0.067882895,0.01737077,0.008617148,0.0005568876,8.544993e-05,0.01256873
1981-06-28,0.0,0.0,0.0080301175,0.0,0.00045591028,4.768437e-06,0.0,0.0
1981-06-29,1.7566894e-17,5.946589e-18,6.610693e-18,5.2350507e-18,0.00013022125,1.6410484e-06,4.6866287e-18,6.5865456e-18
1981-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-07-01,3.1412085e-16,1.1448181e-16,0.0356273,1.5786602e-16,0.07555975,0.00040671896,0.00016174838,1.2092925e-16
1981-07-02,1.858211e-15,0.01439768,0.0057757916,9.920143e-16,0.060546495,0.021177728,0.0014527519,7.490338e-16
1981-07-03,0.025041668,7.012956e-16,8.385433e-16,1.0584984e-15,0.0023074527,0.032662973,0.006664464,0.00011540333
1981-07-04,0.012960013,1.9899138e-17,0.0049642473,9.076102e-05,0.0009862015,4.6475298e-17,0.00066140335,0.00013512252
1981-07-05,1.8604774,0.04584699,0.044294603,0.010791538,0.06497195,0.0066866404,0.0007592509,3.686359e-06
1981-07-06,0.0,0.0,0.0019448615,0.0,0.016090252,0.0011844669,0.00035025645,0.0
1981-07-07,0.12061609,0.0,4.765143e-05,0.0,0.0005127673,0.00012079358,0.0,0.0
1981-07-08,9.833893e-16,3.6133822e-16,0.0054281093,4.855979e-16,0.001235303,0.0004299313,7.143495e-05,3.68773e-16
1981-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-07-10,1.953573e-15,7.158164e-16,0.0011876517,9.547608e-16,0.043905843,0.00014105208,5.4058884e-05,7.33894e-16
1981-07-11,8.4202215e-17,3.097352e-17,0.036272377,4.2880305e-17,8.5461215e-05,0.0003489934,0.0006153063,3.0975647e-17
1981-07-12,1.2812988e-16,4.733164e-17,5.9989004e-17,0.00084565114,0.010581952,0.00037669102,7.07155e-17,5.4071817e-17
1981-07-13,1.3954654e-15,5.238211e-16,0.0035235973,7.262189e-16,0.007301321,0.010412301,0.00082009356,5.309187e-16
1981-07-14,4.818116e-05,0.0,4.928803e-06,0.06871893,0.0,5.958436e-05,0.0005205994,7.632434e-06
1981-07-15,0.0011232127,0.0,9.028542e-05,0.0,0.028410818,2.901292e-06,0.00029904695,0.0
1981-07-16,0.0,0.0,0.00013686858,0.0,0.0,0.0,0.0,0.0
1981-07-17,0.012478269,0.031337548,0.01577391,0.008172779,0.08123044,0.010097534,0.0013440432,0.0
1981-07-18,0.00021413849,0.0,0.027844356,0.0007034219,0.018468503,0.0034737485,0.0013382067,0.0
1981-07-19,0.027317155,0.0017252006,0.010982676,0.0016521433,0.018964227,0.006324094,0.00035762566,0.00013837236
1981-07-20,0.8182799,0.06834282,0.020867188,0.0076644844,0.004752517,0.019655297,0.00018655413,0.00026847745
1981-07-21,0.00010812147,0.0,3.6144556e-06,0.0,0.0013785496,0.0009506724,0.00039849713,9.337048e-05
1981-07-22,4.6039775e-05,0.0,0.0015034924,0.0,0.0,1.7460772e-05,0.0,1.6254374e-06
1981-07-23,0.000652729,0.00027455375,0.00069545134,0.0,0.0025706023,1.5524418e-05,0.00012742452,0.0
1981-07-24,0.18522134,0.0007504328,0.0030201725,0.0,0.0,0.00045038466,0.0,0.0
1981-07-25,0.10364301,0.018560288,0.00032858085,0.0014260623,0.00028475895,4.835487e-06,1.1238554e-05,4.566093e-17
1981-07-26,0.31188056,0.072288364,0.08391286,0.012147642,0.11202411,0.0011494448,5.0087103e-05,0.0
1981-07-27,0.40331703,0.20567416,1.179959,2.0998151,2.8643944,0.7412452,1.869893,1.2020102
1981-07-28,1.5703488e-05,0.0,1.6064248e-06,0.0,0.0,0.004165528,0.0,0.0
1981-07-29,1.0185639e-17,3.75851e-18,4.9159336e-18,5.455976e-18,1.1523097e-17,4.8354865e-05,5.737249e-18,4.247826e-18
1981-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-07-31,3.4685268e-17,1.2723824e-17,0.0017350009,1.7028646e-17,3.5988693e-17,0.0049782353,0.0016778064,1.3169983e-17
1981-08-01,0.004223768,0.00448804,0.00017765578,0.0,0.0015677828,0.00017382867,4.213129e-05,0.0
1981-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-08-03,0.0,0.0,0.0,0.0,0.0051114014,0.0,0.0,0.0
1981-08-04,0.05261837,0.1599966,0.0019801534,0.013972227,0.4523906,9.66415e-06,0.0003237273,0.00064623746
1981-08-05,5.8125224,3.7872446,4.0610642,0.873441,0.42630893,0.9146163,0.3365235,0.08294229
1981-08-06,0.23135553,0.033365726,2.1605105,0.036166016,0.009469809,2.5575027,0.59645724,0.01484152
1981-08-07,2.517886e-16,5.706634e-05,0.0047150375,1.383736e-16,0.004999665,0.00059107883,1.93144e-16,1.8849211e-16
1981-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-08-09,0.08364982,0.52266866,0.022731362,0.05854703,1.8236912,2.1180109e-05,0.013780921,0.08106635
1981-08-10,13.873608,10.779347,6.3658943,1.7268691,4.2161255,3.788104,2.3714223,7.1589026
1981-08-11,5.154101,3.8177571,4.7697563,1.9550499,6.691653,25.591461,11.671909,4.0526576
1981-08-12,0.20487,2.7590396,1.1618408,31.197935,50.213093,2.7948837,38.6826,46.015232
1981-08-13,0.11509962,0.39877903,0.0026677889,0.073158324,1.0488249,0.16268815,0.044695515,0.079951145
1981-08-14,0.0028454363,0.002456205,0.0019542137,2.3339369e-17,0.016183538,1.0360529e-05,0.00029238663,0.019406417
1981-08-15,0.0,0.0,0.01938985,0.0,2.1476477e-05,0.00013185912,3.555364e-05,0.0
1981-08-16,0.0,0.0,0.004941715,0.0,0.0010143652,0.0,0.00036418764,0.0
1981-08-17,0.0,0.0,0.03236377,0.0,0.00021476476,0.024717087,0.014575911,0.010482225
1981-08-18,0.0,0.096748486,0.10017021,0.055934705,0.10638657,0.0017447843,0.0057817656,0.07789786
1981-08-19,0.04377641,0.20659147,0.038451336,0.0029257296,0.011492848,0.0033545112,0.00590927,0.003529718
1981-08-20,0.0,0.0,0.0,0.0,0.0,0.11002434,0.0072935657,0.00077548495
1981-08-21,2.7225504e-18,1.9090084e-18,2.1087055e-18,1.402053e-18,0.011095859,1.5209992e-18,4.1786745e-05,1.8512476e-18
1981-08-22,0.031149326,0.00031930665,0.0012313582,3.707033e-17,0.0053485297,0.00012235458,0.00012673152,5.272941e-17
1981-08-23,0.00026852445,0.0,0.00016917977,0.0,0.0,0.00070946955,0.01674465,0.0
1981-08-24,1.3284919e-16,9.106238e-17,0.06583411,7.1034056e-17,0.0010738239,2.1918475e-05,0.0004770245,9.3185344e-17
1981-08-25,0.0,0.012443801,0.00033835953,0.008950049,0.036692753,0.00037507445,0.00012673682,0.011526711
1981-08-26,0.0,0.00449564,0.0,0.006225218,0.020241618,0.00014018326,0.014562968,0.014172712
1981-08-27,0.0020544312,0.038967185,0.0062849317,0.045415264,0.26495433,0.00090151833,0.04363239,0.048471272
1981-08-28,0.16308616,0.86051184,0.03226854,0.046357132,0.05843515,0.018406067,0.0056669544,0.007903729
1981-08-29,0.93046755,1.7060888,0.29658955,0.7090794,0.9362295,4.5374446,1.526819,0.14041466
1981-08-30,9.05653,1.1646527,18.38,10.092535,4.0598655,2.466284,1.6515505,0.6107805
1981-08-31,0.60852206,0.3076962,4.4130473,0.11444139,0.14652808,4.048734,0.5782956,0.10844025
1981-09-01,0.030096378,0.0,0.0032994486,0.0,0.006816342,0.20346527,5.73839e-05,0.0
