z,Est_V1,Est_V2,Est_V3,Est_V4,Est_V5,Est_V6,Est_V7,Est_V8
1994-06-30,3.1531544,13.292506,6.731763,8.153178,9.777771,10.895109,6.062277,4.3243313
1994-07-31,1.0631123,2.0784118,1.3969867,0.8125751,2.497584,1.9388372,1.92601,3.2434318
1994-08-31,1.8786856,3.379876,2.0660536,2.5475595,3.0194716,2.9913945,1.5725312,1.3898441
1994-09-30,14.816542,40.76512,47.56879,20.970732,18.275656,13.966642,11.592432,10.345575
1994-10-31,17.917768,38.215206,33.210712,35.68823,36.50765,45.013733,24.483046,21.522806
1994-11-30,19.110384,30.7123,23.079271,26.246447,46.76791,46.767216,38.401848,36.138046
1994-12-31,61.13445,95.22277,74.1079,61.132843,79.59253,111.04768,84.225586,87.5967
1995-01-31,48.00607,212.7046,115.73519,74.7248,85.220825,242.87318,98.87796,130.24693
1995-02-28,51.444534,126.136475,117.17732,90.51604,94.66975,152.756,120.273636,85.00896
1995-03-31,59.378582,283.49335,179.47272,144.50928,138.13033,175.6532,88.15046,124.94913
1995-04-30,11.382081,35.3704,35.428856,36.810204,20.33924,63.09047,29.026217,26.930466
1995-05-31,10.20435,49.373074,23.676678,24.90871,13.916014,23.43469,13.103753,7.1690683
1995-06-30,10.515406,22.849808,8.363032,6.9353414,3.9878771,2.6738837,2.2962158,1.8376595
1995-07-31,2.1382012,4.324316,1.5616331,1.5896143,3.4733174,3.2290168,2.2236764,2.9367962
1995-08-31,0.6529019,0.94346434,1.6649039,1.7257252,1.5069039,3.9630127,1.4749011,1.1749928
1995-09-30,10.379059,28.870686,42.367893,19.286373,19.442732,25.778534,17.758898,17.028347
1995-10-31,8.9815445,19.097622,23.279364,24.978592,35.718178,54.070534,27.326302,22.547752
1995-11-30,26.693094,53.73277,39.734184,45.45912,90.693665,84.62687,80.239784,85.19223
1995-12-31,58.955635,80.30341,67.78787,50.097763,74.71892,108.72334,82.2073,84.21401
1996-01-31,29.461977,241.59479,127.680534,74.20376,123.33658,474.96582,128.78409,125.19344
1996-02-29,70.518936,168.87332,172.35056,121.93173,104.44773,227.75485,169.71149,153.42065
1996-03-31,41.228928,241.02208,160.34908,164.18378,165.8183,231.83551,95.04487,111.61255
1996-04-30,17.015005,44.621956,65.37412,44.191227,22.577768,147.22308,45.838154,35.25225
1996-05-31,2.1244826,7.249394,4.890543,6.320148,9.233395,6.7382865,5.8648996,5.8704658
1996-06-30,5.3344007,10.73471,5.8189955,4.8150096,3.3836236,5.40218,2.6748981,1.7298698
1996-07-31,0.71039,1.1241063,0.5951507,0.34159416,0.6863066,1.8896766,0.87634224,0.77933615
1996-08-31,9.635783,19.481194,12.157166,16.532135,22.205667,15.202306,7.2876616,7.381704
1996-09-30,12.687174,29.793653,41.874996,17.89815,17.866367,10.239814,11.571311,10.643257
1996-10-31,26.522238,49.120945,31.458158,35.501896,46.784077,24.641644,19.079782,21.857454
1996-11-30,24.684591,51.751488,33.992058,36.81398,50.12997,42.155487,41.47387,36.144352
1996-12-31,57.568245,104.14076,72.121185,61.91199,108.1449,128.63031,101.50938,98.03437
1997-01-31,36.588047,247.23079,112.37078,77.86146,112.443085,335.04623,95.50238,88.25048
1997-02-28,95.66631,184.35767,189.13013,135.36232,119.93733,166.53737,152.09421,130.29597
1997-03-31,48.893658,198.49088,166.27576,147.4747,141.77359,173.93083,81.31989,110.25141
1997-04-30,17.776518,53.343765,37.140858,38.945515,26.917263,50.335003,23.556452,15.622878
1997-05-31,1.7906023,6.8120418,8.697371,8.362568,8.865242,31.601337,7.64562,6.4625077
1997-06-30,1.5910249,5.529499,2.0142627,2.0496368,2.1376748,2.0753207,1.0783243,0.81460965
1997-07-31,0.5132097,0.69502896,0.5749377,0.54934335,0.43681428,1.3706923,0.80187887,0.5632714
1997-08-31,12.799773,23.923052,22.553993,28.271849,29.102484,54.098896,27.581104,19.60378
1997-09-30,18.577856,47.28555,72.24253,34.294624,31.783062,45.448048,30.683836,23.724613
1997-10-31,11.720395,26.159643,20.611906,27.752441,45.60596,37.87816,26.396055,30.195738
1997-11-30,23.404606,47.986332,43.376556,44.663403,73.22389,93.17953,60.705193,50.695663
1997-12-31,44.281654,85.365974,69.229805,67.22718,108.16436,153.54861,106.670074,114.05473
1998-01-31,48.73325,179.73691,130.65738,108.48098,161.13203,289.7785,141.20992,186.06927
1998-02-28,90.86934,162.19028,242.01076,138.29103,119.19981,253.89635,127.561,113.32578
1998-03-31,53.309837,166.19542,152.76138,152.74628,169.82164,228.72958,131.76056,176.30612
1998-04-30,16.278639,43.041077,39.194656,41.304295,31.891607,63.407703,28.171041,23.267517
1998-05-31,0.9648703,2.8912573,1.2851449,1.2805088,0.84193,1.0689446,0.38714805,0.35756642
1998-06-30,5.948945,20.813467,11.530089,12.440019,13.664889,24.280312,12.343535,6.6971827
1998-07-31,0.08576147,0.24470831,0.09843977,0.15389194,0.33301935,0.59214276,0.44389716,0.53613114
1998-08-31,1.7279373,3.1499238,1.4853894,2.6980026,3.329095,2.105398,1.9022814,1.8795967
1998-09-30,5.1330686,16.713339,27.948114,10.603201,6.881056,8.352651,6.1612926,5.0991473
1998-10-31,24.56871,51.009727,35.7818,40.293747,53.072525,50.853123,31.632904,26.663929
1998-11-30,38.589355,62.6354,50.22969,51.097492,79.36327,90.23446,78.14728,62.14149
1998-12-31,80.97762,125.06697,102.14049,80.63018,102.649315,159.45308,117.75808,99.68369
1999-01-31,38.33862,221.92603,115.34994,69.76637,90.206726,192.50252,70.063034,86.32704
1999-02-28,96.98116,146.14034,227.68175,167.12933,134.95096,357.9974,265.05838,152.1135
1999-03-31,61.541206,302.1984,232.82826,208.22816,188.01378,316.27856,142.25533,182.76073
1999-04-30,20.761724,68.186844,72.27254,78.36191,52.06408,170.95848,65.3609,68.34633
1999-05-31,1.5675738,7.561679,3.9514308,6.2578483,10.371804,5.9774575,4.94177,6.877002
1999-06-30,4.360452,24.11259,13.912592,13.911579,14.227798,22.990713,10.404549,6.772162
1999-07-31,3.8546855,9.485912,4.053366,4.424477,7.1899543,6.7126617,5.708129,5.419108
1999-08-31,0.24008998,0.39807406,0.57973415,0.9946075,1.8278618,2.5662992,1.4170837,1.6991247
1999-09-30,26.095718,37.661823,85.93596,33.0037,23.816391,77.41343,30.430706,18.942766
1999-10-31,22.777866,40.566,45.759247,51.34096,59.713623,102.18033,57.59581,56.718063
1999-11-30,18.629797,40.27584,21.547443,25.4227,44.426926,31.298218,36.042427,37.328968
1999-12-31,77.69034,118.08704,93.324265,74.38013,127.640816,159.31194,124.69394,120.13347
2000-01-31,36.66876,245.6159,102.75427,78.405525,103.07283,241.39651,121.09735,130.73691
2000-02-29,76.52061,201.38426,175.1918,138.02368,121.23839,241.03267,205.46364,140.85942
2000-03-31,67.60341,232.44489,153.24431,154.79198,171.0931,153.9135,104.26554,188.19478
2000-04-30,20.029142,48.697914,30.316978,30.484112,19.13194,27.051085,19.753016,20.604166
2000-05-31,5.7220273,27.833473,14.427528,14.944949,10.834598,33.570465,10.505373,7.396023
2000-06-30,4.0561585,14.181699,8.035126,8.118274,5.486909,8.884598,3.375429,2.0406897
2000-07-31,2.2680473,9.90006,2.5211978,3.806897,9.904448,6.205967,5.470951,5.4060025
2000-08-31,3.3354366,7.97838,5.793953,7.852601,8.707704,10.664058,5.740129,3.486424
